480.831.367-78;Daniela Almeida;1997-09-17;Paralamas do Sucesso;2025-12-29;VIP;447.50
014.363.495-08;Leonardo Alves;2002-08-19;Djavan;2025-03-11;Backstage;531.32
574.443.135-71;Juliana Alves;1971-08-11;Marília Mendonça Tribute;2024-08-09;Backstage;477.04
989.413.435-18;Patrícia Lima;1956-04-08;Capital Inicial;2025-06-30;Pista Premium;304.94
084.271.094-90;Leonardo Rocha;1994-07-08;Gilberto Gil;2024-07-07;Pista;287.03
711.671.902-46;Camila Monteiro;1982-04-05;Caetano Veloso;2024-09-11;Pista;537.62
699.938.677-30;Renata Monteiro;1993-06-21;Ludmilla;2025-08-05;Arquibancada;129.39
133.412.328-42;Carlos Costa;1955-03-29;Legião Urbana Tribute;2025-04-06;Backstage;566.93
403.447.134-40;Michele Rodrigues;1993-02-20;Rock in Rio;2025-07-11;Pista Premium;611.06
421.024.994-72;Vinícius Souza;1997-01-18;Capital Inicial;2024-11-07;Backstage;410.06
488.771.906-04;Marcelo Cardoso;1977-06-18;Roberto Carlos;2024-04-03;Pista Premium;868.77
990.490.278-06;Vinícius Nascimento;1971-04-14;Guns N' Roses;2025-03-22;Backstage;747.68
175.655.125-16;André Rocha;1980-11-09;Titãs;2025-02-14;Arquibancada;110.09
154.516.808-33;Tatiane Gomes;1959-11-12;Marília Mendonça Tribute;2025-06-14;Camarote;590.56
770.348.247-11;Simone Souza;1957-08-03;Paralamas do Sucesso;2025-09-15;Pista Premium;662.02
480.861.317-42;Juliana Pereira;1999-09-17;Elba Ramalho;2024-10-25;Arquibancada;658.44
677.378.263-51;Gabriel Ribeiro;1967-04-01;Vintage Culture;2024-03-12;Camarote;713.59
658.404.499-89;Simone Pereira;1995-01-23;Chico Buarque;2025-05-10;Camarote;352.60
867.533.963-14;André Oliveira;1983-07-19;Jota Quest;2025-04-29;Backstage;829.01
662.702.895-64;Lucas Martins;1963-12-12;Maria Bethânia;2025-04-12;Pista;672.40
621.745.961-21;Vanessa Alves;1989-02-03;Gilberto Gil;2025-10-03;Backstage;807.70
780.913.431-08;Débora Souza;1964-01-07;Zeca Pagodinho;2024-06-19;Backstage;325.56
005.045.562-15;Beatriz Ribeiro;1991-12-20;Guns N' Roses;2025-11-29;Pista Premium;219.39
196.937.923-51;Tatiane Nascimento;1996-03-25;Iron Maiden;2025-11-13;Pista;817.10
748.217.594-62;Débora Nascimento;1995-12-26;Vintage Culture;2024-11-05;Pista Premium;899.49
713.695.944-61;Maria Carvalho;1979-08-17;Roberto Carlos;2025-08-02;Backstage;718.22
097.439.533-10;Elaine Nascimento;1967-04-09;Paralamas do Sucesso;2024-04-09;Backstage;610.00
470.952.145-06;André Costa;1973-01-05;Ivete Sangalo;2025-07-06;Camarote;515.30
424.745.171-54;Camila Almeida;1990-08-27;Vintage Culture;2025-07-24;Camarote;154.05
604.817.549-38;Eduardo Fernandes;1964-09-20;Titãs;2024-08-27;VIP;100.52
859.317.461-29;Rafael Oliveira;1958-05-04;Ludmilla;2025-05-19;Pista;159.70
826.758.692-01;André Souza;1998-11-25;Metallica;2025-02-21;Camarote;106.83
537.735.158-47;Rodrigo Oliveira;1990-09-20;Iron Maiden;2024-07-13;Pista;858.19
713.900.532-02;Ricardo Rodrigues;1961-02-26;Alok;2025-07-21;Pista Premium;560.83
352.904.228-54;Gustavo Costa;1964-11-11;Titãs;2024-01-27;Pista Premium;92.19
395.024.026-85;Cristina Souza;1960-09-13;Alcione;2025-04-04;Camarote;500.86
178.390.847-53;Maria Oliveira;1997-12-21;Vintage Culture;2025-02-15;VIP;642.60
771.159.212-45;Amanda Cardoso;2004-03-12;Capital Inicial;2024-11-28;VIP;895.59
847.896.118-68;Larissa Gomes;1995-07-06;Marisa Monte;2024-08-21;VIP;357.92
766.156.545-55;Camila Rocha;1961-01-08;Caetano Veloso;2024-03-28;Pista;434.14
528.098.851-09;André Fernandes;1992-12-10;Vintage Culture;2024-02-22;Camarote;572.34
519.832.731-04;Rodrigo Alves;1987-12-23;Rock in Rio;2024-10-12;Arquibancada;265.45
689.980.940-02;Patrícia Nascimento;1982-09-20;Elba Ramalho;2024-12-13;Camarote;85.01
296.120.183-75;Eduardo Gomes;1995-09-13;Gilberto Gil;2024-06-10;Camarote;335.54
599.102.290-99;Fernanda Nascimento;1994-10-02;Titãs;2025-03-10;VIP;577.80
643.815.614-06;Michele Rocha;2002-04-10;Titãs;2024-11-11;Pista;260.83
900.343.244-96;Marcelo Souza;1955-09-11;Alcione;2025-03-16;Pista Premium;185.93
838.851.606-09;Maria Martins;1961-12-26;Vintage Culture;2024-11-16;Arquibancada;432.01
664.160.529-97;Tatiane Fernandes;1962-11-27;Legião Urbana Tribute;2024-04-18;Pista Premium;437.25
681.645.352-22;Carlos Ribeiro;1965-03-25;Maria Bethânia;2025-06-06;Pista Premium;822.86
552.312.432-05;Gabriel Pereira;1961-10-05;Jorge & Mateus;2025-10-05;VIP;460.44
997.995.527-96;Carlos Rocha;1994-09-03;Paralamas do Sucesso;2024-11-06;Camarote;564.96
581.477.005-80;Thiago Santos;1963-02-06;Metallica;2025-08-31;Arquibancada;395.28
980.793.597-09;Fabio Pereira;1960-07-20;Zeca Pagodinho;2024-04-15;Camarote;885.56
